"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"NN76",668,0,0.18,8.65,25,0.74,2.1,9.8,19
"NN77",669,0,0.105,21.4,37.25,0.74,1,10,10
"NN78",670,0,0.084,29.72,43.36,0.74,0.8,10.6,9
"NN79",671,0,0.107,16.66,33.78,0.74,1.1,8.9,19
"NN80",672,0,0.035,66.54,31.27,0.74,0.2,5.9,6
"NN81",673,0,0.039,54.13,37.87,0.74,0.2,5.3,12
"NN82",674,0,0.047,35.69,35.2,0.74,0.3,5.8,32
"NN83",675,0,0.087,23.87,30.34,0.74,0.5,5.8,6
"NN84",676,0,0.1,20.58,31.32,0.74,0.9,8.6,23
"NN85",677,0,0.098,20.27,29.15,0.74,1,9.5,13
"NN86",678,1,0.159,10.42,24.92,0.74,1.8,9.8,23
"NN87",679,0,0.097,27.65,44.89,0.74,0.9,10.5,6
"NN88",680,0,0.082,30.14,43.76,0.74,0.8,10.7,10
"NN89",681,0,0.13,17.35,41.14,0.74,1.3,10.2,8
"NN90",682,0,0.05,44.91,25.01,0.74,0.3,5.9,8
"NN91",683,1,0.075,21.67,39,0.74,0.2,1.8,21
"NN92",684,0,0.072,39.59,39.73,0.74,0.2,3.1,5
"NN93",685,0,0.065,39.51,31.25,0.74,0.5,8.2,9
"NN94",686,1,0.103,19.91,31.14,0.74,0.9,8.9,22
"NN95",687,1,0.115,17.32,26.9,0.74,1.1,9.3,19
"NN96",688,0,0.07,28.01,35.34,0.74,0.8,10.1,13
"NN97",689,1,0.108,24.86,44.94,0.74,1,10.9,7
"NN98",690,0,0.087,27.92,42.96,0.74,0.9,11.1,10
"NN99",691,2,0.084,28.21,41.74,0.74,0.9,11,10
"NO00",692,0,0.033,65.95,36.48,0.74,0.2,5.2,13
"NO01",693,0,0.069,34.99,41.58,0.74,0.2,2.7,5
"NO02",694,0,0.084,17.03,39.08,0.74,0.2,1.6,32
"NO03",695,0,0.08,37.19,38.48,0.74,0.2,2.9,8
"NO04",696,1,0.08,25.91,28.93,0.74,0.7,8.2,13
"NO05",697,0,0.066,30.38,33.69,0.74,0.7,10.5,14
"NO06",698,0,0.093,18.21,31.81,0.74,1,9.8,28
"NO07",699,0,0.09,28.16,38.48,0.74,0.9,11,9
"NO08",700,0,0.108,23.52,41.03,0.74,1.1,11.1,7
"NO09",701,4,0.105,22.72,40.69,0.74,1.1,11.1,8
"NO10",702,0,0.063,27.45,41.67,0.74,0.1,2,10
"NO11",703,0,0.074,19.96,40.61,0.74,0.2,1.7,31
"NO12",704,1,0.072,21.61,40.32,0.74,0.2,1.8,26
"NO13",705,0,0.088,17.04,38.49,0.74,0.2,1.5,32
"NO14",706,0,0.089,18.15,33.7,0.74,0.2,1.9,13
"NO15",707,2,0.078,26.64,28.71,0.74,0.8,9.6,13
"NO16",708,0,0.054,38.81,30.2,0.74,0.5,9.6,14
"NO17",709,0,0.094,25.91,33.91,0.74,1,11,9
